subid,agecat,Identification_1,Identification_2,Identification_3,Identification_4,attentioncheck,gender,nationality,religiosity,political,district,israelpk,palestpk,alternative,order,altblame,totisrael1,totisrael2,totpalest1,totpalest2,shiftisrael,shiftpalest,halevy,paltblame,ptotisrael1,ptotisrael2,ptotpalest1,ptotpalest2,phalevy
406,3,7,7,7,7,5,2,3,2,1,3,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
407,5,7,7,7,7,5,2,1,2,2,3,0,0,1,0,0,1,1,99,99,0,0,99,0,0.01,0.01,0.99,0.99,0.99
408,6,4,6,6,6,5,2,3,2,3,4,1,1,1,0,40,30,50,30,50,-20,-20,50,0.4,0.3,0.5,0.3,0.5,0.5
409,4,7,7,7,7,5,2,1,3,1,4,0,1,1,0,0,70,40,30,60,30,-30,60,0,0.7,0.4,0.3,0.6,0.6
410,4,7,7,7,7,5,1,2,3,4,4,1,1,0,0,0,70,40,30,60,30,-30,60,0,0.7,0.4,0.3,0.6,0.6
411,3,4,4,5,5,5,2,1,2,2,3,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
412,3,7,7,7,7,5,2,1,4,4,4,0,0,1,0,0,20,0,80,100,20,-20,100,0,0.2,0,0.8,1,1
413,4,7,7,7,7,5,2,1,3,1,5,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
414,7,7,7,7,7,5,1,1,4,2,4,0,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
415,3,7,7,7,7,5,2,1,4,7,5,0,0,0,0,0,100,75,0,25,25,-25,25,0,1,0.75,0,0.25,0.25
416,5,7,7,7,7,5,2,1,2,2,3,1,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
417,7,7,7,6,7,5,2,1,4,6,4,1,1,1,0,0,70,70,30,30,0,0,30,0,0.7,0.7,0.3,0.3,0.3
418,6,6,6,6,6,5,2,1,3,2,3,1,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
419,3,7,7,6,7,5,2,1,2,4,4,0,1,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
420,3,4,4,4,4,5,2,1,4,5,4,0,0,1,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
421,3,4,4,4,4,5,2,2,3,4,3,1,1,1,1,50,10,10,90,40,0,-50,90,0.5,0.1,0.1,0.9,0.4,0.9
422,3,7,7,4,7,5,2,1,3,1,5,1,0,1,0,25,0,1,75,99,-1,-24,99,0.25,0,0.01,0.75,0.99,0.99
423,3,4,3,3,3,5,2,2,3,4,4,1,0,1,1,5,75,78,25,17,3,-8,25,0.05,0.75,0.78,0.25,0.17,0.25
424,4,7,7,7,7,5,2,3,2,5,4,1,0,0,0,10,60,70,30,30,-10,0,30,0.1,0.6,0.7,0.3,0.3,0.3
425,3,7,7,5,5,5,2,1,4,2,4,0,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
426,3,7,3,3,7,5,2,1,3,1,5,1,1,1,0,50,0,0,50,100,0,-50,100,0.5,0,0,0.5,1,1
427,6,7,7,7,7,5,2,3,4,4,4,0,1,0,1,0,75,75,25,25,0,0,25,0,0.75,0.75,0.25,0.25,0.25
428,3,6,5,5,7,5,1,3,4,2,3,0,0,1,1,17,33,17,67,66,-16,-1,67,0.17,0.33,0.17,0.67,0.66,0.67
429,5,7,7,7,7,5,1,3,4,2,5,0,0,1,0,0,40,70,60,30,-30,30,30,0,0.4,0.7,0.6,0.3,0.3
430,3,5,3,6,4,5,1,3,3,5,4,0,0,0,0,5,65,77,30,23,-12,7,23,0.05,0.65,0.77,0.3,0.23,0.23
431,3,1,1,1,1,5,2,2,2,4,3,0,0,1,0,0,45,90,55,10,-45,45,10,0,0.45,0.9,0.55,0.1,0.1
432,6,7,7,7,6,5,1,1,3,1,3,0,1,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
433,4,6,4,1,7,5,2,3,3,4,4,0,1,1,0,0,70,50,30,50,20,-20,50,0,0.7,0.5,0.3,0.5,0.5
434,4,6,4,3,1,5,1,2,1,5,4,0,0,0,1,10,80,70,20,20,-10,0,20,0.1,0.8,0.7,0.2,0.2,0.2
435,3,2,2,1,2,5,2,2,2,6,4,0,1,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
436,4,6,6,6,6,5,1,3,3,3,3,0,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
437,3,7,7,7,7,5,2,3,3,2,5,0,1,0,1,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
438,4,7,7,6,6,5,2,1,4,4,5,1,0,1,1,10,10,30,90,60,20,-30,90,0.1,0.1,0.3,0.9,0.6,0.9
439,3,7,7,7,7,5,1,2,4,4,4,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
440,3,6,7,7,7,5,2,1,4,6,5,1,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
441,4,7,7,7,7,5,2,1,4,5,5,0,0,1,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
442,4,7,7,7,7,5,2,1,3,7,4,0,1,0,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
443,3,6,7,7,7,5,2,3,3,2,5,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
444,3,7,7,7,7,5,2,3,4,4,5,0,1,0,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
445,5,7,7,7,7,5,2,1,3,2,3,0,1,1,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
446,3,4,5,4,5,5,2,3,4,4,5,1,1,1,0,50,20,50,30,50,-30,-20,50,0.5,0.2,0.5,0.3,0.5,0.5
447,3,6,6,7,7,5,2,3,4,4,3,1,1,1,0,38,2,10,60,90,-8,-30,90,0.38,0.02,0.1,0.6,0.9,0.9
448,3,7,7,7,6,5,2,3,2,1,3,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
449,4,7,5,7,7,5,3,1,4,3,5,0,1,1,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
450,3,6,5,4,6,5,2,3,4,3,5,0,0,1,1,10,100,60,0,30,-40,30,0,0.1,1,0.6,0,0.3,0
451,3,7,7,7,7,5,2,1,2,1,4,0,1,1,1,0,100,100,0,0,0,0,0,0,1,1,0,0,0
452,6,7,7,7,7,5,2,3,3,2,4,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
453,3,7,7,7,7,5,2,3,2,3,5,1,1,0,1,0,10,0,90,100,-10,10,90,0,0.1,0,0.9,1,0.9
454,6,7,7,7,7,5,2,3,2,4,5,1,1,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
455,3,7,7,7,7,5,2,3,4,1,5,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
456,3,6,6,6,7,5,2,1,1,1,4,0,0,0,1,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
457,3,6,6,6,6,5,2,1,1,1,4,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
458,3,5,7,5,6,5,2,1,4,1,4,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
459,3,6,6,2,4,5,2,3,3,2,3,1,1,0,1,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
460,3,7,7,7,6,5,2,3,3,2,5,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
461,3,6,6,7,7,5,2,1,4,2,5,0,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
462,3,7,7,7,7,5,2,3,3,1,4,0,0,1,0,10,30,0,60,100,30,-40,100,0.1,0.3,0,0.6,1,1
